codigo_a1;codigo_a2;comarca;unidade;vagas_oferecidas;deficit_esperado;diferenca_atual;lotacao_real;lotacao_paradigma;tipo_discrepancia
A1-003;A2-005;Almirante Tamandaré;SECRETARIA ESPECIALIZADA DE MOVIMENTAÇÃO PROCESSUAL DAS VARAS CÍVEIS E DA FAZENDA PÚBLICA;1;-1;0;5;5;NAO_BATE
A1-007;A2-013;Ampére;JUÍZO ÚNICO;3;-3;-2;5;7;NAO_BATE
A1-008;A2-016;Andirá;VARA CRIMINAL, FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE E JUIZADO ESPECIAL CRIMINAL;1;-1;0;5;5;NAO_BATE
A1-011;A2-027;Arapongas;2ª VARA CÍVEL E DA FAZENDA PÚBLICA;1;-1;-5;0;5;NAO_BATE
A1-012;A2-025;Arapongas;1ª VARA CRIMINAL;2;-2;-5;0;5;NAO_BATE
A1-013;A2-026;Arapongas;2ª VARA CRIMINAL;2;-2;-6;0;6;NAO_BATE
A1-014;A2-030;Arapongas;VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL;3;-3;-6;0;6;NAO_BATE
A1-015;A2-028;Arapongas;JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA;2;-2;-10;0;10;NAO_BATE
A1-024;A2-053;Bocaiúva do Sul;JUÍZO ÚNICO;4;-4;-3;2;5;NAO_BATE
A1-025;NAO_ENCONTRADO;Bocaiúva do Sul;VARA CÍVEL (EM PROCESSO DE ESTATIZAÇÃO);1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-026;NAO_ENCONTRADO;Bocaiúva do Sul;OFÍCIO DISTRIBUIDOR (EM PROCESSO DE ESTATIZAÇÃO);1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-028;A2-063;Campina da Lagoa;JUÍZO ÚNICO;4;-4;-3;2;5;NAO_BATE
A1-035;A2-083;Capanema;VARA CRIMINAL, FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE E JUIZADO ESPECIAL CRIMINAL;1;-1;-2;3;5;NAO_BATE
A1-037;A2-093;Cascavel;2º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;1;-1;-3;5;8;NAO_BATE
A1-039;A2-090;Cascavel;1º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;1;-1;0;8;8;NAO_BATE
A1-059;NAO_ENCONTRADO;Cornélio Procópio;VARA CRIMINAL;1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-060;NAO_ENCONTRADO;Cornélio Procópio;VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL;1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-065;NAO_ENCONTRADO;Curitiba;2ª VARA DE FAMÍLIA (EM PROCESSO DE ESTATIZAÇÃO);4;-4;N/A;N/A;N/A;NAO_ENCONTRADO
A1-066;NAO_ENCONTRADO;Curitiba;4ª VARA DE FAMÍLIA (EM PROCESSO DE ESTATIZAÇÃO);4;-4;N/A;N/A;N/A;NAO_ENCONTRADO
A1-069;NAO_ENCONTRADO;Curitiba;SECRETARIA UNIFICADA DA 1ª E 2ª VARAS DESCENTRALIZADAS DO PINHEIRINHO DE CURITIBA;1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-074;NAO_ENCONTRADO;Curitiba;SECRETARIA UNIFICADA DA 1ª E 2ª VARAS DESCENTRALIZADAS DA CIDADE INDUSTRIAL DE CURITIBA;1;-1;N/A;N/A;N/A;NAO_ENCONTRADO
A1-075;A2-191;Curitiba;SECRETARIA ESPECIALIZADA DE MOVIMENTAÇÃO PROCESSUAL DA FAZENDA PÚBLICA;1;-1;-4;43;47;NAO_BATE
