Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
ALMIRANTE TAMANDARÉ;Secretaria Unificada das 1ª e 2ª Vara Cível e da Fazenda Pública;0;0;1;1
ALMIRANTE TAMANDARÉ;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
ALMIRANTE TAMANDARÉ;1ª Vara Criminal;1;4;0;5
ALMIRANTE TAMANDARÉ;2ª Vara Criminal;1;4;0;5
ALMIRANTE TAMANDARÉ;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;0;5
ALTO PARANÁ;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;0;4
ALTO PIQUIRI;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
ALTÔNIA;Juízo Único - Crime e Anexos e Juizados Especiais;0;3;1;4
AMPÉRE;Juízo Único;1;4;0;5
ANDIRÁ;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;5;0;5
ANTONINA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;0;3;0;3
ANTONINA;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;0;2;1;3
ANTONINA;Distribuidor, Contador, Partidor, Avaliador e Depositário Público;0;0;0;0
APUCARANA;1ª Vara Criminal;1;4;0;5
APUCARANA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;7;1;9
APUCARANA;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;7;1;8
APUCARANA;2ª Vara Criminal;2;3;1;6
ARAPONGAS;Juizado Especial Cível, Criminal e da Fazenda Pública;0;0;0;0
ARAPONGAS;2ª Vara Criminal;0;0;0;0
ARAPONGAS;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;0;0;0
ARAPONGAS;1ª Vara Criminal;0;0;0;0
ARAPONGAS;2ª Vara Cível e da Fazenda Pública;0;0;0;0
ARAPOTI;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
ARAUCÁRIA;2ª Vara Cível e da Fazenda Pública;1;4;0;5
ARAUCÁRIA;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
ARAUCÁRIA;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;2;5;0;7
ARAUCÁRIA;Vara Criminal;0;7;1;8
ASSAÍ;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
ASSAÍ;Distribuidor, Contador, Partidor, Avaliador e Depositário Público;0;0;0;0
ASSIS CHATEAUBRIAND;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
ASTORGA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;7;0;7
BANDEIRANTES;2ª Vara Cível e da Fazenda Pública, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;5;0;6
BANDEIRANTES;Vara Criminal, Infância e Juventude, Família e Sucessões e Juizado Especial Criminal;1;4;0;5
BARBOSA FERRAZ;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
BARRACÃO;Juízo Único - Crime e Anexos e Juizados Especiais;0;3;0;3
BELA VISTA DO PARAÍSO;Juízo Único - Crime e Anexos, Juizados Especiais e Distribuidor;1;3;1;5
BOCAIÚVA DO SUL;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;0;2
CAMBARÁ;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;1;3
CAMBÉ;Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
CAMBÉ;2ª Vara Cível e da Fazenda Pública;0;5;1;6
CAMBÉ;Vara Criminal;0;5;1;6
CAMBÉ;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;1;6
CAMPINA DA LAGOA;Juízo Único - Crime e Anexos e Juizados Especiais;0;2;0;2
CAMPINA GRANDE DO SUL;Vara de Família e Sucessões, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível, Criminal e da Fazenda Pública e Infância e Juventude;1;2;0;3
CAMPINA GRANDE DO SUL;Vara Cível e da Fazenda Pública;2;3;0;5
CAMPINA GRANDE DO SUL;Vara Criminal;0;5;0;5
CAMPO LARGO;Vara Criminal;0;6;0;6
CAMPO LARGO;Juizado Especial Cível, Criminal e da Fazenda Pública;0;5;1;6
CAMPO LARGO;2ª Vara Cível e da Fazenda Pública;0;3;1;4
CAMPO LARGO;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;0;5
CAMPO LARGO;1ª Vara Cível e da Fazenda Pública;0;5;0;5
CAMPO MOURÃO;2ª Vara Criminal;1;3;1;5
CAMPO MOURÃO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;5;0;6
CAMPO MOURÃO;1ª Vara Criminal;2;2;1;5
