codigo;comarca;unidade;unidade_csv;lotacao_atual;nivel_match;score
A2-025;Arapongas;1ª VARA CRIMINAL;1ª Vara Criminal;0;1;100
A2-026;Arapongas;2ª VARA CRIMINAL;2ª Vara Criminal;0;1;100
A2-027;Arapongas;2ª VARA CÍVEL E DA FAZENDA PÚBLICA;2ª Vara Cível e da Fazenda Pública;0;1;100
A2-028;Arapongas;JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA;Juizado Especial Cível, Criminal e da Fazenda Pública;0;1;100
A2-030;Arapongas;VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;0;1;100
A2-090;Cascavel;1º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;8;3;98.6784140969163
A2-093;Cascavel;2º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;5;3;98.6784140969163
A2-098;Cascavel;4ª VARA CÍVEL E EMPRESARIAL REGIONAL;4ª Vara Cível;7;2;95
A2-161;Curitiba;1ª VARA DE INFRAÇÕES PENAIS CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Vara de Infrações Penais contra Crianças, Adolescentes e Idosos;5;3;97.67441860465115
A2-166;Curitiba;24ª VARA CÍVEL E EMPRESARIAL REGIONAL;24ª Vara Cível;7;2;95
A2-167;Curitiba;25ª VARA CÍVEL E EMPRESARIAL REGIONAL;25ª Vara Cível;7;2;95
A2-171;Curitiba;2ª VARA DE INFRAÇÕES PENAIS CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Vara de Infrações Penais contra Crianças, Adolescentes e Idosos;6;3;97.67441860465115
A2-321;Londrina;3ª VARA DE FAMÍLIA;3ª Vara de Família e Sucessões;5;2;90
A2-331;Londrina;VARA DA FAZENDA PÚBLICA;2ª Vara da Fazenda Pública;5;3;93.87755102040816
A2-416;Palmas;VARA CRIMINAL E DA INFÂNCIA E JUVENTUDE;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;5;2;95
A2-417;Palmas;VARA DE FAMÍLIA E SUCESSÕES, JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;5;2;95
A2-464;Ponta Grossa;1ª VARA CÍVEL E EMPRESARIAL REGIONAL;1ª Vara Cível;6;2;95
A2-466;Ponta Grossa;1º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;9;3;98.6784140969163
A2-469;Ponta Grossa;2º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER, VARA DE CRIMES CONTRA CRIANÇAS, ADOLESCENTES E IDOSOS;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;5;3;98.6784140969163
